"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"XXII","22nd Century Group, Inc","3.41","350412759.4","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"GOLF","Acushnet Holdings Corp.","18.02","1341624625.54","n/a","2016","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/golf",
"AGRO","Adecoagro S.A.","10.62","1282940827.02","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"ALCO","Alico, Inc.","34.1","281447453.1","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco",
"MO","Altria Group","62.55","120006406007.1","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/mo",
"ABEV","Ambev S.A.","6.61","103824433360","n/a","2013","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/abev",
"DIT","AMCON Distributing Company","92.25","62632030.5","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"ALN","American Lorain Corporation","0.35","13396071.5","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"ANFI","Amira Nature Foods Ltd","6.05","190632039.4","n/a","2012","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/anfi",
"BETR","Amplify Snack Brands, inc.","7.23","554853458.91","n/a","2015","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/betr",
"BUD","Anheuser-Busch Inbev SA","121.61","235132935000","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/bud",
"AXE","Anixter International Inc.","86.45","2873616932.55","n/a","n/a","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/axe",
"ABAC","Aoxin Tianli Group, Inc.","3.5","27943107.5","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac",
"ATR","AptarGroup, Inc.","88.58","5556134349.82","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/atr",
"ADM","Archer-Daniels-Midland Company","43","24188589792","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/adm",
"FUV","Arcimoto, Inc.","4.76","82955690.16","n/a","2017","Consumer Non-Durables","Motor Vehicles","http://www.nasdaq.com/symbol/fuv",
"AFI","Armstrong Flooring, Inc.","16.15","437430485.85","n/a","2016","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/afi",
"AWI","Armstrong World Industries Inc","52.3","2766083873.9","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/awi",
"ARW","Arrow Electronics, Inc.","82.16","7251540027.68","n/a","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/arw",
"AVT","Avnet, Inc.","40.46","4934907899.32","n/a","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/avt",
"AVP","Avon Products, Inc.","2.29","1007484682.47","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/avp",
"BGS","B&G Foods, Inc.","32.5","2161130822.5","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bgs",
"BEBE","bebe stores, inc.","5.48","44366573.2","n/a","1998","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/bebe",
"BERY","Berry Global Group, Inc.","59.26","7727504000","n/a","2012","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/bery",
"BUFF","Blue Buffalo Pet Products, Inc.","29.02","5720534678.38","n/a","2015","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/buff",
"SAM","Boston Beer Company, Inc. (The)","165.2","1985081196","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/sam",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","4.24","246880784","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/lnd",
"BRFS","BRF S.A.","14.58","11649496472.1","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","http://www.nasdaq.com/symbol/brfs",
"BRID","Bridgford Foods Corporation","12.5761","114151146.9152","n/a","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/brid",
"BTI","British American Tobacco p.l.c.","62.33","142956789122.42","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/bti",
"BG","Bunge Limited","68.72","9662184283.52","n/a","2001","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bg",
"BUR","Burcon NutraScience Corp","0.64","24209392","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/bur",
"CVGW","Calavo Growers, Inc.","73.25","1284305361.75","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cvgw",
"CAL","Caleres, Inc.","30.23","1298857796.65","n/a","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/cal",
"ELY","Callaway Golf Company","14.5","1368391419","n/a","1992","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/ely",
"CALM","Cal-Maine Foods, Inc.","42.35","2057042325.8","n/a","1996","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/calm",
"CPB","Campbell Soup Company","46.48","13968564726.48","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/cpb",
